Node:0,Node:1,Scalar:0,Scalar:1
100,46,0.0146957,0.0204564
1020200,459145,0.0148312,0.0218253
0,46,0.0178531,0.0204564
46,459145,0.0204564,0.0218253
10200,7271,0.0206369,0.0227535
459145,7271,0.0218253,0.0227535
7271,1020118,0.0227535,0.0249463
1020100,1020118,0.0237111,0.0249463
1020118,1028381,0.0249463,0.0298481
1030300,1028381,0.0276224,0.0298481
1028381,7373,0.0298481,0.0401205
10100,7373,0.0328552,0.0401205
7373,1025453,0.0401205,0.0563521
1030200,1025453,0.040982,0.0563521
1025453,866333,0.0563521,1.0
