scalars,Texture Coordinates:0,Texture Coordinates:1,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0224324,0,0,50,-50,-50,0,0
0.0224324,1,0,50,14,-50,1,0
0.0240825,0,0,-50,-50,-50,2,0
0.0240825,1,0,-3,-50,-50,3,0
0.0245852,0,0,50,50,-50,4,0
0.0245852,1,0,50,14,-50,5,0
0.0274815,0,0,50,-50,50,6,0
0.0274815,1,0,50,-50,6,7,0
0.0262252,0,0,50,14,-50,8,0
0.0262252,1,0,-3,-50,-50,9,0
0.0288587,0,0,-3,-50,-50,10,0
0.0288587,1,0,50,-50,6,11,0
0.0329684,0,0,50,50,50,12,0
0.0329684,1,0,50,22,50,13,0
0.0331827,0,0,50,-50,6,14,0
0.0331827,1,0,50,22,50,15,0
0.0379116,0,0,-50,-50,50,16,0
0.0379116,1,0,-50,-50,15,17,0
0.0390768,0,0,50,22,50,18,0
0.0390768,1,0,-50,22,-50,19,0
0.039201,0,0,-50,50,-50,20,0
0.039201,1,0,-50,22,-50,21,0
0.0435271,0,0,-50,22,-50,22,0
0.0435271,1,0,-50,-50,15,23,0
0.0538709,0,0,-50,-50,15,24,0
0.0538709,1,0,-50,0,50,25,0
0.0541684,0,0,-50,50,50,26,0
0.0541684,1,0,-50,0,50,27,0
0.531947,0,0,-50,0,50,28,0
0.531947,1,0,5,43,34,29,0
