scalars,NodeIdentifier,VertexIdentifier,NodeType,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0261519,4,6564,1,50,14,-50,0,0
0.0187129,0,100,0,50,-50,-50,1,0
0.0262985,5,47,1,-3,-50,-50,2,0
0.0218664,1,0,0,-50,-50,-50,3,0
0.0230186,2,10200,0,50,50,-50,4,0
0.0314189,7,571356,1,50,-50,6,5,0
0.0235441,3,1020200,0,50,-50,50,6,0
0.0349465,9,1027472,1,50,22,50,7,0
0.0309903,6,1030300,0,50,50,50,8,0
0.0438472,12,663065,1,-50,-50,15,9,0
0.0319761,8,1020100,0,-50,-50,50,10,0
0.043207,11,7272,1,-50,22,-50,11,0
0.035195,10,10100,0,-50,50,-50,12,0
0.0638947,14,1025150,1,-50,0,50,13,0
0.0444421,13,1030200,0,-50,50,50,14,0
1,15,866332,3,5,43,34,15,0
