magnitude,Texture Coordinates:0,Texture Coordinates:1,Points:0,Points:1,Points:2,vtkOriginalIndices
0.0338932,0,0,23,23,0,0
0.0338932,1,0,29,26,0,1
0.0656464,0,0,29,27,0,2
0.0656464,1,0,29,26,0,3
0.105244,0,0,29,26,0,4
0.105244,1,0,30,24,0,5
0.129949,0,0,31,24,0,6
0.129949,1,0,30,24,0,7
0.300329,0,0,30,24,0,8
0.300329,1,0,36,26,0,9
0.336587,0,0,39,23,0,10
0.336587,1,0,36,26,0,11
0.68575,0,0,36,26,0,12
0.68575,1,0,46,22,0,13
0.751962,0,0,50,27,0,14
0.751962,1,0,46,22,0,15
0.822076,0,0,92,22,0,16
0.822076,1,0,99,24,0,17
0.853511,0,0,63,22,0,18
0.853511,1,0,70,24,0,19
0.81973,0,0,106,27,0,20
0.81973,1,0,113,24,0,21
0.838437,0,0,77,27,0,22
0.838437,1,0,84,25,0,23
0.828346,0,0,120,22,0,24
0.828346,1,0,127,24,0,25
0.835624,0,0,134,27,0,26
0.835624,1,0,140,25,0,27
0.838428,0,0,148,22,0,28
0.838428,1,0,155,24,0,29
0.77912,0,0,398,24,0,30
0.77912,1,0,390,24,0,31
0.838745,0,0,161,26,0,32
0.838745,1,0,168,25,0,33
0.834475,0,0,175,23,0,34
0.834475,1,0,183,24,0,35
0.782961,0,0,384,25,0,36
0.782961,1,0,390,24,0,37
0.785571,0,0,371,24,0,38
0.785571,1,0,377,25,0,39
0.831318,0,0,189,26,0,40
0.831318,1,0,196,25,0,41
0.792405,0,0,343,24,0,42
0.792405,1,0,349,25,0,43
0.826645,0,0,203,23,0,44
0.826645,1,0,211,24,0,45
0.791486,0,0,356,25,0,46
0.791486,1,0,363,24,0,47
0.801734,0,0,287,24,0,48
0.801734,1,0,294,25,0,49
0.795845,0,0,329,25,0,50
0.795845,1,0,335,24,0,51
0.801145,0,0,301,25,0,52
0.801145,1,0,308,24,0,53
0.797797,0,0,315,24,0,54
0.797797,1,0,322,25,0,55
0.805816,0,0,273,25,0,56
0.805816,1,0,280,24,0,57
0.809085,0,0,259,23,0,58
0.809085,1,0,266,25,0,59
0.822973,0,0,217,26,0,60
0.822973,1,0,224,24,0,61
0.818003,0,0,231,23,0,62
0.818003,1,0,238,25,0,63
0.814301,0,0,245,26,0,64
0.814301,1,0,252,24,0,65
0.791367,0,0,390,24,0,66
0.791367,1,0,377,25,0,67
0.797536,0,0,377,25,0,68
0.797536,1,0,363,24,0,69
0.803026,0,0,363,24,0,70
0.803026,1,0,349,25,0,71
0.806946,0,0,349,25,0,72
0.806946,1,0,335,24,0,73
0.811588,0,0,335,24,0,74
0.811588,1,0,322,25,0,75
0.816833,0,0,322,25,0,76
0.816833,1,0,308,24,0,77
0.821241,0,0,308,24,0,78
0.821241,1,0,294,25,0,79
0.825699,0,0,294,25,0,80
0.825699,1,0,280,24,0,81
0.832189,0,0,280,24,0,82
0.832189,1,0,266,25,0,83
0.839911,0,0,266,25,0,84
0.839911,1,0,252,24,0,85
0.848641,0,0,252,24,0,86
0.848641,1,0,238,25,0,87
0.8577,0,0,238,25,0,88
0.8577,1,0,224,24,0,89
0.867538,0,0,224,24,0,90
0.867538,1,0,211,24,0,91
0.877901,0,0,211,24,0,92
0.877901,1,0,196,25,0,93
0.888474,0,0,196,25,0,94
0.888474,1,0,183,24,0,95
0.900028,0,0,183,24,0,96
0.900028,1,0,168,25,0,97
0.911649,0,0,168,25,0,98
0.911649,1,0,155,24,0,99
0.956851,0,0,46,22,0,100
0.956851,1,0,0,37,0,101
0.921419,0,0,155,24,0,102
0.921419,1,0,140,25,0,103
0.931025,0,0,140,25,0,104
0.931025,1,0,127,24,0,105
0.938694,0,0,127,24,0,106
0.938694,1,0,113,24,0,107
0.948498,0,0,113,24,0,108
0.948498,1,0,99,24,0,109
0.966933,0,0,99,24,0,110
0.966933,1,0,84,25,0,111
0.99522,0,0,84,25,0,112
0.99522,1,0,70,24,0,113
1.00011,0,0,0,43,0,114
1.00011,1,0,0,37,0,115
1.00014,0,0,0,0,0,116
1.00014,1,0,0,15,0,117
1.00017,0,0,0,37,0,118
1.00017,1,0,0,15,0,119
1.01592,0,0,0,15,0,120
1.01592,1,0,57,25,0,121
1.01219,0,0,70,24,0,122
1.01219,1,0,78,46,0,123
1.01226,0,0,78,49,0,124
1.01226,1,0,78,48,0,125
1.01227,0,0,78,47,0,126
1.01227,1,0,78,48,0,127
1.01227,0,0,78,48,0,128
1.01227,1,0,78,46,0,129
1.01564,0,0,78,46,0,130
1.01564,1,0,93,3,0,131
1.01862,0,0,93,0,0,132
1.01862,1,0,93,3,0,133
1.02213,0,0,93,3,0,134
1.02213,1,0,106,46,0,135
1.02478,0,0,109,49,0,136
1.02478,1,0,106,46,0,137
1.02713,0,0,106,46,0,138
1.02713,1,0,121,3,0,139
1.02831,0,0,121,0,0,140
1.02831,1,0,121,3,0,141
1.02997,0,0,121,3,0,142
1.02997,1,0,134,46,0,143
1.03049,0,0,134,49,0,144
1.03049,1,0,134,46,0,145
1.0313,0,0,134,46,0,146
1.0313,1,0,57,25,0,147
1.03195,0,0,57,25,0,148
1.03195,1,0,147,3,0,149
1.0322,0,0,147,0,0,150
1.0322,1,0,147,3,0,151
1.05923,0,0,147,3,0,152
1.05923,1,0,43,0,0,153
1.08565,0,0,38,0,0,154
1.08565,1,0,43,0,0,155
1.25365,0,0,43,0,0,156
1.25365,1,0,25,20,0,157
