magnitude,NodeIdentifier,VertexIdentifier,NodeType,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0792144,2,10429,1,29,26,0,0,0
0,0,9223,0,23,23,0,1,0
0.0554903,1,10830,0,30,27,0,2,0
0.157734,4,9630,1,30,24,0,3,0
0.10352,3,9631,0,31,24,0,4,0
0.461225,6,10436,1,36,26,0,5,0
0.240807,5,8840,0,40,22,0,6,0
0.9228,51,9246,1,46,23,0,7,0
0.594975,7,11251,0,51,28,0,8,0
0.954063,55,9699,1,99,24,0,9,0
0.685161,8,8892,0,92,22,0,10,0
1.0129,61,9671,1,71,24,0,11,0
0.695562,9,8864,0,64,22,0,12,0
0.975158,56,9685,1,85,24,0,13,0
0.69619,10,10478,0,78,26,0,14,0
0.942672,54,10113,1,113,25,0,15,0
0.69663,11,10906,0,106,27,0,16,0
0.935794,53,9727,1,127,24,0,17,0
0.719308,12,8920,0,120,22,0,18,0
0.928184,52,10141,1,141,25,0,19,0
0.74309,13,10934,0,134,27,0,20,0
0.916819,50,9755,1,155,24,0,21,0
0.758121,14,8948,0,148,22,0,22,0
0.90677,49,9769,1,169,24,0,23,0
0.769184,15,10562,0,162,26,0,24,0
0.89362,48,9783,1,183,24,0,25,0
0.773824,16,9376,0,176,23,0,26,0
0.792707,33,9991,1,391,24,0,27,0
0.77437,17,9999,0,399,24,0,28,0
0.882172,47,9797,1,197,24,0,29,0
0.778063,18,10590,0,190,26,0,30,0
0.77837,19,10384,0,384,25,0,31,0
0.794462,34,10377,1,377,25,0,32,0
0.778862,20,9971,0,371,24,0,33,0
0.871295,46,10210,1,210,25,0,34,0
0.779745,21,9404,0,204,23,0,35,0
0.804187,36,10350,1,350,25,0,36,0
0.780712,22,9943,0,343,24,0,37,0
0.82171,40,10294,1,294,25,0,38,0
0.781139,23,9888,0,288,24,0,39,0
0.802288,35,9964,1,364,24,0,40,0
0.781298,24,10357,0,357,25,0,41,0
0.809803,37,9936,1,336,24,0,42,0
0.781645,25,10329,0,329,25,0,43,0
0.819938,39,9908,1,308,24,0,44,0
0.781827,26,10301,0,301,25,0,45,0
0.83425,42,10266,1,266,25,0,46,0
0.782128,27,9860,0,260,24,0,47,0
0.828452,41,9880,1,280,24,0,48,0
0.782184,28,10274,0,274,25,0,49,0
0.813284,38,10322,1,322,25,0,50,0
0.782191,29,9915,0,315,24,0,51,0
0.861125,45,9825,1,225,24,0,52,0
0.782192,30,10618,0,218,26,0,53,0
0.851355,44,10238,1,238,25,0,54,0
0.782397,31,9432,0,232,23,0,55,0
0.843467,43,9852,1,252,24,0,56,0
0.78311,32,10246,0,246,25,0,57,0
1.00015,59,14800,1,0,37,0,58,0
1.00006,57,17200,0,0,43,0,59,0
1.0002,60,6000,1,0,15,0,60,0
1.00007,58,0,0,0,0,0,61,0
1.03076,70,10457,1,57,26,0,62,0
1.01896,63,1293,1,93,3,0,63,0
1.01826,62,94,0,94,0,0,64,0
1.0258,65,18506,1,106,46,0,65,0
1.02433,64,19709,0,109,49,0,66,0
1.02885,67,1321,1,121,3,0,67,0
1.02753,66,122,0,122,0,0,68,0
1.03063,69,18534,1,134,46,0,69,0
1.02977,68,19734,0,134,49,0,70,0
1.03221,72,1349,1,149,3,0,71,0
1.03215,71,149,0,149,0,0,72,0
1.08381,74,43,1,43,0,0,73,0
1.08292,73,38,0,38,0,0,74,0
1.42196,75,8025,3,25,20,0,75,0
